,bed,bath,area,budget_guess,budget,local_street,local_ward,local_district,local_city
0,10,10,100.1,17.70776209645475,16.5,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
1,12,12,100.0,18.746808165891373,17.5,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,7,6,58.0,9.291136447151532,11.0,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,8,8,58.3,11.174670977185604,9.35,Đ.Phan Văn Trị,P.12,Q.Bình Thạnh,Hồ Chí Minh
4,5,5,383.9,52.290015034557996,53.5,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
5,3,2,130.0,16.62766088531827,4.25,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
6,2,3,7.8,2.7146133740021554,2.03,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
7,3,3,63.0,9.160552234900846,8.0,Đ.Trục 30,P.13,Q.Bình Thạnh,Hồ Chí Minh
8,5,6,93.5,15.53007430460392,18.5,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
9,5,5,115.0,17.0310958484013,25.0,Đ.Bình Lợi,P.13,Q.Bình Thạnh,Hồ Chí Minh
10,3,2,94.6,11.985913993574323,9.5,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
11,1,1,62.9,8.095281606753806,4.5,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
12,1,1,124.4,16.159333410207275,8.0,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
13,4,5,67.2,11.555465659788066,8.6,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
14,4,4,41.6,6.88060362728206,6.5,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
15,2,1,21.2,1.8354217724550832,2.65,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
16,3,1,35.3,2.8922138183629214,4.0,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
17,4,3,69.8,9.260147887878434,8.2,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
18,12,12,77.8,15.835882149035,10.5,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
19,6,2,237.9,28.399692280058815,22.0,Đ.QL13 Cũ,P.Hiệp Bình Phước,Q.Thủ Đức,
