bed,bath,area,budget,price,local_street,local_ward,local_district,local_city
2,3,15,2.3,153.33,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
5,5,65.2,7.6,116.56,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,12.7,1.6,125.98,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,53.5,6.5,121.49,Đ.Diên Hồng,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,19.5,3.8,194.87,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,25.7,3.05,118.67,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,3,31.4,4.3,136.94,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
1,1,39.5,5.7,144.3,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
5,4,85.1,24,282.02,Đ.Trịnh Hoài Đức,P.1,Q.Bình Thạnh,Hồ Chí Minh
4,4,62.6,17.5,279.55,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,3,18.1,3.2,176.79,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,45.9,7.2,156.86,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,4,32.3,7,216.71,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,60.5,8.5,140.49,Đ.Yên Đỗ,P.1,Q.Bình Thạnh,Hồ Chí Minh
1,1,38.1,5.8,152.23,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,51.1,7,136.98,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,41.05,7.2,175.39,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,20.7,5.13,247.82,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,13,1.93,148.46,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,3,142,17,119.71,Đ.Phó Đức Chính,P.1,Q.Bình Thạnh,Hồ Chí Minh
6,5,42.9,8,186.48,Đ.Bùi Hữu Nghĩa,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,25.7,3.05,118.67,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
1,2,19,2.7,142.1,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
