bed,bath,area,budget,price,local_street,local_ward,local_district,local_city
2,2,53.5,6.5,121.49,Đ.Diên Hồng,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,19.5,3.8,194.87,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,25.7,3.05,118.67,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,3,31.4,4.3,136.94,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
1,1,39.5,5.7,144.3,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
5,4,85.1,24,282.02,Đ.Trịnh Hoài Đức,P.1,Q.Bình Thạnh,Hồ Chí Minh
4,4,62.6,17.5,279.55,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,3,18.1,3.2,176.79,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,45.9,7.2,156.86,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,4,32.3,7,216.71,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,60.5,8.5,140.49,Đ.Yên Đỗ,P.1,Q.Bình Thạnh,Hồ Chí Minh
1,1,38.1,5.8,152.23,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,51.1,7,136.98,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,2,41.05,7.2,175.39,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,20.7,5.13,247.82,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,20.9,2.6,124.4,Đ.Vũ Tùng,P.2,Q.Bình Thạnh,Hồ Chí Minh
2,2,22,4.3,195.45,Đ.Vũ Tùng,P.2,Q.Bình Thạnh,Hồ Chí Minh
3,3,80.1,10,124.84,Đ.Vũ Tùng,P.2,Q.Bình Thạnh,Hồ Chí Minh
3,5,62.9,15,238.47,Đ.Bùi Hữu Nghĩa,P.2,Q.Bình Thạnh,Hồ Chí Minh
7,7,159.8,19,118.89,Đ.Bùi Hữu Nghĩa,P.2,Q.Bình Thạnh,Hồ Chí Minh
6,7,61.8,15,242.71,Đ.Bùi Hữu Nghĩa,P.2,Q.Bình Thạnh,Hồ Chí Minh
1,1,19,3.95,207.89,Đ.Vũ Tùng,P.2,Q.Bình Thạnh,Hồ Chí Minh
3,3,40,10.5,262.5,Đ.Bạch Đằng,P.2,Q.Bình Thạnh,Hồ Chí Minh
4,3,70.6,18.2,257.79,Đ.Vũ Huy Tấn,P.3,Q.Bình Thạnh,Hồ Chí Minh
2,1,30.6,3.5,114.37,Đ.Nguyễn Lâm,P.3,Q.Bình Thạnh,Hồ Chí Minh
4,3,85.9,9.5,110.59,Đ.Vũ Huy Tấn,P.3,Q.Bình Thạnh,Hồ Chí Minh
3,3,16.8,2.95,175.59,Đ.Vạn Kiếp,P.3,Q.Bình Thạnh,Hồ Chí Minh
4,4,67.4,5.6,83.08,Đ.Lê Quang Định,P.5,Q.Bình Thạnh,Hồ Chí Minh
3,3,22.6,3.3,146.01,Đ.Hoàng Hoa Thám,P.5,Q.Bình Thạnh,Hồ Chí Minh
2,3,19.2,3,156.24,Đ.Hoàng Hoa Thám,P.5,Q.Bình Thạnh,Hồ Chí Minh
4,5,63,9.5,150.79,Đ.Hoàng Hoa Thám,P.5,Q.Bình Thạnh,Hồ Chí Minh
3,3,42.4,6.6,155.66,Đ.Nguyễn Văn Đậu,P.5,Q.Bình Thạnh,Hồ Chí Minh
3,3,29.37,6.1,207.69,Đ.Hoàng Hoa Thám,P.5,Q.Bình Thạnh,Hồ Chí Minh
2,2,159.2,23,144.47,Đ.Nguyễn Trung Trực,P.5,Q.Bình Thạnh,Hồ Chí Minh
2,3,42.2,7.6,180.09,Đ.Nguyễn Thượng Hiền,P.5,Q.Bình Thạnh,
2,1,10.1,1.85,183.16,Đ.Trần Bình Trọng,P.5,Q.Bình Thạnh,Hồ Chí Minh
4,5,38.5,7.2,187.01,Đ.Hoàng Hoa Thám,P.5,Q.Bình Thạnh,Hồ Chí Minh
3,3,37.2,8.5,228.49,Đ.Nguyễn Văn Đậu,P.5,Q.Bình Thạnh,Hồ Chí Minh
2,2,39.6,4.8,121.21,Đ.Nguyễn Thượng Hiền,P.5,Q.Bình Thạnh,
3,2,97.2,29.5,303.49,Đ.Nguyễn Văn Đậu,P.5,Q.Bình Thạnh,Hồ Chí Minh
4,5,80.5,13.8,171.42,Đ.Hoàng Hoa Thám,P.5,Q.Bình Thạnh,Hồ Chí Minh
24,24,147.7,27.5,186.18,Đ.Nguyễn Trung Trực,P.5,Q.Bình Thạnh,Hồ Chí Minh
5,4,95.5,13,136.12,Đ.Trần Bình Trọng,P.5,Q.Bình Thạnh,Hồ Chí Minh
2,2,21,3.8,180.95,Đ.Nguyễn Thượng Hiền,P.6,Q.Bình Thạnh,
3,3,211,35,165.87,Đ.Nguyễn Huy Tưởng,P.6,Q.Bình Thạnh,Hồ Chí Minh
6,7,53.3,8.9,166.97,Đ.Nguyễn Thượng Hiền,P.6,Q.Bình Thạnh,
6,3,33.5,5.3,158.2,Đ.Hoàng Hoa Thám,P.6,Q.Bình Thạnh,Hồ Chí Minh
4,4,77.7,16,205.92,Đ.Phan Đăng Lưu,P.6,Q.Bình Thạnh,Hồ Chí Minh
2,3,25.1,3.6,143.42,Đ.Hoàng Hoa Thám,P.6,Q.Bình Thạnh,Hồ Chí Minh
2,2,25.6,3.4,132.81,Đ.Nguyễn Văn Đậu,P.11,Q.Bình Thạnh,Hồ Chí Minh
2,2,18.7,2.9,155.08,Đ.Phan Văn Trị,P.11,Q.Bình Thạnh,Hồ Chí Minh
11,9,68.7,6.5,94.61,Đ.Phan Văn Trị,P.11,Q.Bình Thạnh,Hồ Chí Minh
2,2,41.6,4.65,111.77,Đ.Phan Văn Trị,P.11,Q.Bình Thạnh,Hồ Chí Minh
3,2,48.5,5.2,107.21,Đ.Nguyễn Khuyến,P.12,Q.Bình Thạnh,Hồ Chí Minh
6,6,41.4,5.95,143.71,Đ.Ngô Đức Kế,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,3,61.6,5.7,92.53,Đ.Phan Văn Trị,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,26.4,4.15,157.19,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,3,17.6,2.6,147.72,Đ.Phan Văn Trị,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,3,37.3,6.5,174.26,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
1,1,85,6.8,80,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
4,4,102.7,12.9,125.6,Đ.Phan Văn Trị,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,56.5,8.5,150.44,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,33.8,6,177.51,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,82.2,6.5,79.07,Đ.Nguyễn Khuyến,P.12,Q.Bình Thạnh,Hồ Chí Minh
4,5,65.7,9.2,140.03,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,32.1,4.7,146.41,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
4,3,79.4,6.9,86.9,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,191.4,17,88.81,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,41.2,4.8,116.5,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
1,1,50,5.65,113,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,4,46.4,5.86,126.29,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,2,40.7,5.5,135.13,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,2,18.3,5.3,289.61,Đ.Ngô Đức Kế,P.12,Q.Bình Thạnh,Hồ Chí Minh
10,10,100.1,16.5,164.83,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
12,12,100,17.5,175,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
7,6,58,11,189.65,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
8,8,58.3,9.35,160.37,Đ.Phan Văn Trị,P.12,Q.Bình Thạnh,Hồ Chí Minh
5,5,383.9,53.5,139.35,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,2,130,4.25,32.69,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,3,7.8,2.03,260.25,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,3,63,8,126.98,Đ.Trục 30,P.13,Q.Bình Thạnh,Hồ Chí Minh
3,3,58.2,5.9,101.37,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,28.3,3.55,125.44,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,66.4,5.7,85.84,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,3,30.4,7.2,236.84,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
3,4,34.2,4.2,122.8,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,5,69,12.5,181.15,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,1,153.2,17,110.96,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,26.9,3.2,118.95,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,58.2,6,103.09,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
6,5,115,25,217.39,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
19,19,154.9,20,129.11,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,7,91.5,15,163.93,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,158.3,16.2,102.33,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,1,83.4,6.8,81.53,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,18.8,2.75,146.27,Đ.Phan Bội Châu,P.14,Q.Bình Thạnh,Hồ Chí Minh
4,3,32.3,5.4,167.18,Đ.Phan Bội Châu,P.14,Q.Bình Thạnh,Hồ Chí Minh
4,5,86.6,22,254.04,Đ.Nguyễn An Ninh,P.14,Q.Bình Thạnh,Hồ Chí Minh
4,5,159.9,28,175.1,Đ.Lê Quang Định,P.14,Q.Bình Thạnh,Hồ Chí Minh
