bed,bath,area,budget,price,local_street,local_ward,local_district,local_city
10,10,100.1,16.5,164.83,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
12,12,100,17.5,175,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
7,6,58,11,189.65,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
8,8,58.3,9.35,160.37,Đ.Phan Văn Trị,P.12,Q.Bình Thạnh,Hồ Chí Minh
5,5,383.9,53.5,139.35,Đ.Bùi Đình Túy,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,2,130,4.25,32.69,Đ.Chu Văn An,P.12,Q.Bình Thạnh,Hồ Chí Minh
2,3,7.8,2.03,260.25,Đ.Nơ Trang Long,P.12,Q.Bình Thạnh,Hồ Chí Minh
3,3,63,8,126.98,Đ.Trục 30,P.13,Q.Bình Thạnh,Hồ Chí Minh
5,6,93.5,18.5,197.86,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
5,5,115,25,217.39,Đ.Bình Lợi,P.13,Q.Bình Thạnh,Hồ Chí Minh
3,2,94.6,9.5,100.42,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
1,1,62.9,4.5,71.54,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
1,1,124.4,8,64.3,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,5,67.2,8.6,127.97,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,4,41.6,6.5,156.25,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,1,21.2,2.65,125,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
3,1,35.3,4,113.31,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,3,69.8,8.2,117.47,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
12,12,77.8,10.5,134.96,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
6,2,237.9,22,92.47,Đ.QL13 Cũ,P.Hiệp Bình Phước,Q.Thủ Đức,
3,2,169.4,4.25,25.08,Ấp 1,X.Quy Đức,H.Bình Chánh,Hồ Chí Minh
7,4,34.6,13.5,390.17,Đ.Hùng Vương,P.1,Q.10,Hồ Chí Minh
4,4,87.5,5.15,58.85,Đ.Vườn Lài,P.An Phú Đông,Q.12,Hồ Chí Minh
3,3,31.1,6,192.92,Đ.Đoàn Thị Điểm,P.1,Q.Phú Nhuận,Hồ Chí Minh
7,11,177.8,35,196.85,Đ.Hậu Giang,P.4,Q.Tân Bình,Hồ Chí Minh
2,2,43.9,2.8,63.78,Đ.Hiệp Thành 26,P.Hiệp Thành,Q.12,Hồ Chí Minh
2,3,25.2,2.4,95.23,Đ.Tùng Thiện Vương,P.11,Q.8,Hồ Chí Minh
1,1,28.1,1.5,53.38,Đ.Nguyễn Tuân,P.3,Q.Gò Vấp,Hồ Chí Minh
2,1,52.9,3,56.71,Đ.Hiệp Thành 13,P.Hiệp Thành,Q.12,Hồ Chí Minh
2,2,21.1,3.2,151.65,Đ.Bùi Văn Thêm,P.9,Q.Phú Nhuận,Hồ Chí Minh
1,1,77.5,2.95,38.06,Đ.Tân Chánh Hiệp 13,P.Tân Chánh Hiệp,Q.12,
2,2,13,1.93,148.46,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,3,142,17,119.71,Đ.Phó Đức Chính,P.1,Q.Bình Thạnh,Hồ Chí Minh
6,5,42.9,8,186.48,Đ.Bùi Hữu Nghĩa,P.1,Q.Bình Thạnh,Hồ Chí Minh
2,2,25.7,3.05,118.67,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,Hồ Chí Minh
1,2,19,2.7,142.1,lê văn duyệt,P.1,Q.Bình Thạnh,Hồ Chí Minh
3,3,74.1,13.7,184.88,Đ.Bạch Đằng,P.2,Q.Bình Thạnh,Hồ Chí Minh
2,2,79,12,151.89,Đ.Vũ Tùng,P.2,Q.Bình Thạnh,Hồ Chí Minh
4,3,27.3,4.9,179.48,Đ.Bùi Hữu Nghĩa,P.2,Q.Bình Thạnh,Hồ Chí Minh
5,4,43.3,6,138.56,Đ.Vũ Tùng,P.2,Q.Bình Thạnh,Hồ Chí Minh
2,2,156.5,16.5,105.43,Đ.Bùi Hữu Nghĩa,P.2,Q.Bình Thạnh,Hồ Chí Minh
4,3,129.6,16,123.45,Đ.Vũ Tùng,P.2,Q.Bình Thạnh,Hồ Chí Minh
5,6,93.5,18.5,197.86,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
5,5,115,25,217.39,Đ.Bình Lợi,P.13,Q.Bình Thạnh,Hồ Chí Minh
3,2,94.6,9.5,100.42,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
1,1,62.9,4.5,71.54,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
1,1,124.4,8,64.3,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,5,67.2,8.6,127.97,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,4,41.6,6.5,156.25,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,1,21.2,2.65,125,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
3,1,35.3,4,113.31,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,3,69.8,8.2,117.47,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
12,12,77.8,10.5,134.96,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,4,60,9,150,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
3,3,83.3,13.5,162.06,Đ.Bình Lợi,P.13,Q.Bình Thạnh,Hồ Chí Minh
